Date,Day number,Number of cases,Number of Deaths
01/03/20,1,0,0
02/03/20,2,0,0
03/03/20,3,1,0
04/03/20,4,1,0
05/03/20,5,1,0
06/03/20,6,1,0
07/03/20,7,2,0
08/03/20,8,2,0
09/03/20,9,5,0
10/03/20,10,7,0
11/03/20,11,7,0
12/03/20,12,16,0
13/03/20,13,18,0
14/03/20,14,18,0
15/03/20,15,20,0
16/03/20,16,24,0
17/03/20,17,29,0
18/03/20,18,39,1
19/03/20,19,54,1
20/03/20,20,60,1
21/03/20,21,75,3
22/03/20,22,89,3
23/03/20,23,114,4
24/03/20,24,173,5
25/03/20,25,197,6
26/03/20,26,227,6
27/03/20,27,278,8
28/03/20,28,312,8
29/03/20,29,312,8
30/03/20,30,394,10
31/03/20,31,423,12
01/04/20,32,455,14
02/04/20,33,495,18
03/04/20,34,553,18
04/04/20,35,574,22
05/04/20,36,596,22
06/04/20,37,623,23
07/04/20,38,628,24
08/04/20,39,643,25
09/04/20,40,671,25
10/04/20,41,685,28
11/04/20,42,707,31
12/04/20,43,726,34
13/04/20,44,747,34
14/04/20,45,780,35
15/04/20,46,822,37
16/04/20,47,864,37
17/04/20,48,864,37
18/04/20,49,879,38
19/04/20,50,884,38
20/04/20,51,884,38
21/04/20,52,909,38
22/04/20,53,918,38
23/04/20,54,922,38
24/04/20,55,939,38
25/04/20,56,949,38
26/04/20,57,967,39
27/04/20,58,975,40
28/04/20,59,980,40
29/04/20,60,994,41
30/04/20,61,998,41
01/05/20,62,1009,42
02/05/20,63,1013,42
03/05/20,64,1018,43
04/05/20,65,1022,43
05/05/20,66,1025,43
06/05/20,67,1026,44
07/05/20,68,1030,45
08/05/20,69,1032,45
09/05/20,70,1032,45
10/05/20,71,1032,45
11/05/20,72,1032,45
12/05/20,73,1032,45
13/05/20,74,1032,45
14/05/20,75,1035,45
15/05/20,76,1037,45
16/05/20,77,1037,45
17/05/20,78,1043,46
18/05/20,79,1044,47
19/05/20,80,1045,47
20/05/20,81,1046,47
21/05/20,82,1048,47
22/05/20,83,1048,48
23/05/20,84,1051,48
24/05/20,85,1051,48
25/05/20,86,1051,48
26/05/20,87,1051,48
27/05/20,88,1068,48
28/05/20,89,1071,48
29/05/20,90,1076,48
30/05/20,91,1077,48
31/05/20,92,1084,48
01/06/20,93,1086,48
02/06/20,94,1087,49
03/06/20,95,1087,49
04/06/20,96,1087,49
05/06/20,97,1087,49
06/06/20,98,1087,49
07/06/20,99,1087,49
08/06/20,100,1087,49
09/06/20,101,1087,49
10/06/20,102,1087,49
11/06/20,103,1093,49
12/06/20,104,1094,49
13/06/20,105,1096,49
14/06/20,106,1110,49
15/06/20,107,1125,49
16/06/20,108,1128,50
17/06/20,109,1132,50
18/06/20,110,1146,50
19/06/20,111,1156,50
20/06/20,112,1157,50
21/06/20,113,1159,50
22/06/20,114,1159,50
23/06/20,115,1160,50
24/06/20,116,1162,50
25/06/20,117,1164,50
26/06/20,118,1168,50
27/06/20,119,1169,50
28/06/20,120,1172,50
29/06/20,121,1174,50
30/06/20,122,1175,50
01/07/20,123,1178,50
02/07/20,124,1181,50
03/07/20,125,1186,50
04/07/20,126,1188,50
05/07/20,127,1199,50
06/07/20,128,1205,50
07/07/20,129,1221,50
08/07/20,130,1231,50
09/07/20,131,1240,50
10/07/20,132,1245,50
11/07/20,133,1263,50
12/07/20,134,1302,50
13/07/20,135,1306,50
14/07/20,136,1319,50
15/07/20,137,1327,50
16/07/20,138,1336,50
17/07/20,139,1348,50
18/07/20,140,1374,50
19/07/20,141,1381,50
20/07/20,142,1389,50
21/07/20,143,1394,50
22/07/20,144,1406,50
23/07/20,145,1425,50
24/07/20,146,1443,50
25/07/20,147,1452,50
26/07/20,148,1455,50
27/07/20,149,1468,50
28/07/20,150,1488,50
29/07/20,151,1514,50
30/07/20,152,1535,50
31/07/20,153,1552,51
01/08/20,154,1561,51
02/08/20,155,1565,51
03/08/20,156,1584,51
04/08/20,157,1601,51
05/08/20,158,1642,51
06/08/20,159,1656,51
07/08/20,160,1678,51
08/08/20,161,1697,51
09/08/20,162,1717,51
10/08/20,163,1738,52
11/08/20,164,1780,52
12/08/20,165,1847,53
13/08/20,166,1903,53
14/08/20,167,2023,54
15/08/20,168,2107,54
16/08/20,169,2185,56
17/08/20,170,2314,57
18/08/20,171,2427,60
19/08/20,172,2543,63
20/08/20,173,2607,64
21/08/20,174,2738,68
22/08/20,175,2818,71
23/08/20,176,2893,71
24/08/20,177,3069,71
25/08/20,178,3206,71
26/08/20,179,3323,73
27/08/20,180,3461,74
28/08/20,181,3572,76
29/08/20,182,3685,76
30/08/20,183,3803,77
31/08/20,184,3963,80
01/09/20,185,4196,81
02/09/20,186,4394,84
03/09/20,187,4542,87
04/09/20,188,4776,93
05/09/20,189,5041,93
06/09/20,190,5124,94
07/09/20,191,5417,96
08/09/20,192,5882,99
09/09/20,193,6259,103
10/09/20,194,6635,107
11/09/20,195,7008,112
12/09/20,196,7382,117
13/09/20,197,7623,123
14/09/20,198,8100,129
15/09/20,199,8570,133
16/09/20,200,9110,138
17/09/20,201,9736,155
18/09/20,202,10234,157
19/09/20,203,10732,159
20/09/20,204,11260,164
21/09/20,205,11869,169
22/09/20,206,12479,174
23/09/20,207,13305,180
